Artist,Rank,Song,Year,Country,Points,Language
Carmela Corren,7,Vielleicht geschieht ein Wunder,1963,Austria,16,"German, English"
Anita Thallaug,13,Solhverv,1963,Norway,0,Norwegian
Emilio Pericoli,3,Uno per tutte,1963,Italy,37,Italian
Laila Halme,13,Muistojeni laulu,1963,Finland,0,Finnish
Grethe & Jørgen Ingmann,1,Dansevise,1963,Denmark,42,Danish
Vice Vukov,11,Brodovi,1963,Yugoslavia,3,Croatian
Esther Ofarim,2,T'en va pas,1963,Switzerland,40,French
Alain Barrière,5,Elle était si jolie,1963,France,25,French
José Guardiola,12,Algo prodigioso,1963,Spain,2,Spanish
Monica Zetterlund,13,En gång i Stockholm,1963,Sweden,0,Swedish
Jacques Raymond,10,Waarom?,1963,Belgium,4,Dutch
Françoise Hardy,5,L'amour s'en va,1963,Monaco,25,French
Nana Mouskouri,8,À force de prier,1963,Luxembourg,13,French
Hugues Aufray,4,Dès que le printemps revient,1964,Luxembourg,14,French
Anneke Grönloh,10,Jij bent mijn leven,1964,Netherlands,2,Dutch
Arne Bendiksen,8,Spiral,1964,Norway,6,Norwegian
Bjørn Tidmand,9,Sangen om dig,1964,Denmark,4,Danish
Lasse Mårtenson,7,Laiskotellen,1964,Finland,9,Finnish
Udo Jürgens,6,"Warum nur, warum?",1964,Austria,11,German
Rachel,4,Le chant de Mallory,1964,France,14,French
Matt Monro,2,I Love the Little Things,1964,United Kingdom,17,English
Nora Nova,13,Man gewöhnt sich so schnell an das Schöne,1964,Germany,0,German
Romuald,3,Où sont-elles passées,1964,Monaco,15,French
António Calvário,13,Oração,1964,Portugal,0,Portuguese
Gigliola Cinquetti,1,Non ho l'età,1964,Italy,49,Italian
Sabahudin Kurt,13,Život je sklopio krug,1964,Yugoslavia,0,Bosnian
Anita Traversi,13,I miei pensieri,1964,Switzerland,0,Italian
Robert Cogoi,10,Près de ma rivière,1964,Belgium,2,French
Los TNT,12,Caracola,1964,Spain,1,Spanish
Conny van den Bos,11,'t Is genoeg,1965,Netherlands,5,Dutch
Kathy Kirby,2,I Belong,1965,United Kingdom,26,English
Conchita Bautista,15,"¡Qué bueno, qué bueno!",1965,Spain,0,Spanish
Butch Moore,6,Walking the Streets in the Rain,1965,Ireland,11,English
Ulla Wiesner,15,"Paradies, wo bist du?",1965,Germany,0,German
Udo Jürgens,4,"Sag ihr, ich lass sie grüßen",1965,Austria,16,German
Kirsti Sparboe,13,Karusell,1965,Norway,1,Norwegian
Lize Marke,15,Als het weer lente is,1965,Belgium,0,Dutch
Marjorie Noël,9,Va dire à l'amour,1965,Monaco,7,French
Ingvar Wixell,10,Absent Friend,1965,Sweden,6,English
Guy Mardel,3,N'avoue jamais,1965,France,22,French
Simone de Oliveira,13,Sol de inverno,1965,Portugal,1,Portuguese
Bobby Solo,5,"Se piangi, se ridi",1965,Italy,15,Italian
Birgit Brüel,7,For din skyld,1965,Denmark,10,Danish
France Gall,1,"Poupée de cire, poupée de son",1965,Luxembourg,32,French
Viktor Klimenko,15,Aurinko laskee länteen,1965,Finland,0,Finnish
Vice Vukov,12,Čežnja,1965,Yugoslavia,2,Croatian
Yovanna,8,"Non, à jamais sans toi",1965,Switzerland,8,French
Margot Eskens,10,Die Zeiger der Uhr,1966,Germany,7,German
Ulla Pia,14,Stop – mens legen er go',1966,Denmark,4,Danish
Tonia,4,"Un peu de poivre, un peu de sel",1966,Belgium,14,French
Michèle Torr,10,Ce soir je t'attendais,1966,Luxembourg,7,French
Berta Ambrož,7,Brez besed,1966,Yugoslavia,9,Slovene
Åse Kleveland,3,Intet er nytt under solen,1966,Norway,15,Norwegian
Ann Christine,10,Playboy,1966,Finland,7,Finnish
Madalena Iglésias,13,Ele e ela,1966,Portugal,6,Portuguese
Udo Jürgens,1,"Merci, Chérie",1966,Austria,31,German1
Lill Lindfors & Svante Thuresson,2,Nygammal vals,1966,Sweden,16,Swedish
Raphael,7,Yo soy aquél,1966,Spain,9,Spanish
Madeleine Pascal,6,Ne vois-tu pas?,1966,Switzerland,12,French
Téréza,17,Bien plus fort,1966,Monaco,0,French
Domenico Modugno,17,"Dio, come ti amo",1966,Italy,0,Italian
Dominique Walter,16,Chez nous,1966,France,1,French
Milly Scott,15,Fernando en Filippo,1966,Netherlands,2,Dutch
Dickie Rock,4,Come Back to Stay,1966,Ireland,14,English
Kenneth McKellar,9,A Man Without Love,1966,United Kingdom,8,English
Thérèse Steinmetz,14,Ring-dinge-ding,1967,Netherlands,2,Dutch
Vicky Leandros,4,L'amour est bleu,1967,Luxembourg,17,French
Peter Horton,14,Warum es hunderttausend Sterne gibt,1967,Austria,2,German
Noëlle Cordier,3,Il doit faire beau là-bas,1967,France,20,French
Eduardo Nascimento,12,O vento mudou,1967,Portugal,3,Portuguese
Géraldine,17,Quel cœur vas-tu briser?,1967,Switzerland,0,French
Östen Warnerbring,8,Som en dröm,1967,Sweden,7,Swedish
Fredi,12,Varjoon – suojaan,1967,Finland,3,Finnish
Inge Brück,8,Anouschka,1967,Germany,7,German
Louis Neefs,7,Ik heb zorgen,1967,Belgium,8,Dutch
Sandie Shaw,1,Puppet on a String,1967,United Kingdom,47,English
Raphael,6,Hablemos del amor,1967,Spain,9,Spanish
Kirsti Sparboe,14,Dukkemann,1967,Norway,2,Norwegian
Minouche Barelli,5,Boum-Badaboum,1967,Monaco,10,French
Lado Leskovar,8,Vse rože sveta,1967,Yugoslavia,7,Slovene
Claudio Villa,11,Non andare più lontano,1967,Italy,4,Italian
Sean Dunphy,2,If I Could Choose,1967,Ireland,22,English
Carlos Mendes,11,Verão,1968,Portugal,5,Portuguese
Ronnie Tober,16,Morgen,1968,Netherlands,1,Dutch
Claude Lombard,7,Quand tu reviendras,1968,Belgium,8,French
Karel Gott,13,Tausend Fenster,1968,Austria,2,German
Chris Baldo & Sophie Garel,11,Nous vivrons d'amour,1968,Luxembourg,5,French
Gianni Mascolo,13,Guardando il sole,1968,Switzerland,2,Italian
Line & Willy,7,À chacun sa chanson,1968,Monaco,8,French
Claes-Göran Hederström,5,"Det börjar verka kärlek, banne mej",1968,Sweden,15,Swedish
Kristina Hautala,16,Kun kello käy,1968,Finland,1,Finnish
Isabelle Aubret,3,La source,1968,France,20,French
Sergio Endrigo,10,Marianne,1968,Italy,7,Italian
Cliff Richard,2,Congratulations,1968,United Kingdom,28,English
Odd Børre,13,Stress,1968,Norway,2,Norwegian
Pat McGuigan,4,Chance of a Lifetime,1968,Ireland,18,English
Massiel,1,"La, la, la",1968,Spain,29,Spanish
Wenche Myhre,6,Ein Hoch der Liebe,1968,Germany,11,German
Dubrovački trubaduri,7,Jedan dan,1968,Yugoslavia,8,Croatian
Ivan & 4M,13,Pozdrav svijetu,1969,Yugoslavia,5,Croatian
Romuald,11,Catherine,1969,Luxembourg,7,French
Salomé,1,Vivo cantando,1969,Spain,18,Spanish
Jean Jacques,6,"Maman, Maman",1969,Monaco,11,French
Muriel Day & The Lindsays,7,The Wages of Love,1969,Ireland,10,English
Iva Zanicchi,13,Due grosse lacrime bianche,1969,Italy,5,Italian
Lulu,1,Boom Bang-a-Bang,1969,United Kingdom,18,English
Lenny Kuhr,1,De troubadour,1969,Netherlands,18,Dutch
Tommy Körberg,9,"Judy, min vän",1969,Sweden,8,Swedish
Louis Neefs,7,Jennifer Jennings,1969,Belgium,10,Dutch
Paola Del Medico,5,"Bonjour, Bonjour",1969,Switzerland,13,German
Kirsti Sparboe,16,"Oj, oj, oj, så glad jeg skal bli",1969,Norway,1,Norwegian
Siw Malmkvist,9,Primaballerina,1969,Germany,8,German
Frida Boccara,1,"Un jour, un enfant",1969,France,18,French
Simone de Oliveira,15,Desfolhada portuguesa,1969,Portugal,4,Portuguese
Jarkko & Laura,12,Kuin silloin ennen,1969,Finland,6,Finnish
Hearts of Soul,7,Waterman,1970,Netherlands,7,Dutch
Henri Dès,4,Retour,1970,Switzerland,8,French
Gianni Morandi,8,Occhi di ragazza,1970,Italy,5,Italian
Eva Sršen,11,"Pridi, dala ti bom cvet",1970,Yugoslavia,4,Slovene
Jean Vallée,8,Viens l'oublier,1970,Belgium,5,French
Guy Bonnet,4,Marie-Blanche,1970,France,8,French
Mary Hopkin,2,"Knock, Knock Who's There?",1970,United Kingdom,26,English
David Alexandre Winter,12,Je suis tombé du ciel,1970,Luxembourg,0,French
Julio Iglesias,4,Gwendolyne,1970,Spain,8,Spanish
Dominique Dussault,8,Marlène,1970,Monaco,5,French
Katja Ebstein,3,Wunder gibt es immer wieder,1970,Germany,12,German
Dana,1,All Kinds of Everything,1970,Ireland,32,English
Marianne Mendt,16,Musik,1971,Austria,66,Viennese
Joe Grech,18,Marija l-Maltija,1971,Malta,52,Maltese
Séverine,1,"Un banc, un arbre, une rue",1971,Monaco,128,French
"Peter, Sue and Marc",12,Les illusions de nos vingt ans,1971,Switzerland,78,French
Katja Ebstein,3,Diese Welt,1971,Germany,100,German
Karina,2,En un mundo nuevo,1971,Spain,116,Spanish
Serge Lama,10,Un jardin sur la terre,1971,France,82,French
Monique Melsen,13,"Pomme, pomme, pomme",1971,Luxembourg,70,French
Clodagh Rodgers,4,Jack In The Box,1971,United Kingdom,98,English
Lily Castel & Jacques Raymond,14,"Goeiemorgen, morgen",1971,Belgium,68,Dutch
Massimo Ranieri,5,L'amore è un attimo,1971,Italy,91,Italian
Family Four,6,Vita vidder,1971,Sweden,85,Swedish
Angela Farrell,11,One Day Love,1971,Ireland,79,English
Saskia & Serge,6,Tijd,1971,Netherlands,85,Dutch
Tonicha,9,Menina do alto da serra,1971,Portugal,83,Portuguese
Krunoslav Slabinac,14,Tvoj dječak je tužan,1971,Yugoslavia,68,Croatian
Markku Aro & Koivistolaiset,8,Tie uuteen päivään,1971,Finland,84,Finnish
Hanne Krogh,17,Lykken er,1971,Norway,65,Norwegian
Mary Roos,3,Nur die Liebe läßt uns leben,1972,Germany,107,German
Betty Mars,11,Comé-comédie,1972,France,81,French
Sandie Jones,15,Ceol an Ghrá,1972,Ireland,72,Irish
Jaime Morey,10,Amanece,1972,Spain,83,Spanish
The New Seekers,2,"Beg, Steal or Borrow",1972,United Kingdom,114,English
Grethe Kausland & Benny Borg,14,Småting,1972,Norway,73,Norwegian
Carlos Mendes,7,A festa da vida,1972,Portugal,90,Portuguese
Véronique Müller,8,C'est la chanson de mon amour,1972,Switzerland,88,French
Helen and Joseph,18,L-imħabba,1972,Malta,48,Maltese
Päivi Paunu & Kim Floor,12,Muistathan,1972,Finland,78,Finnish
Milestones,5,Falter im Wind,1972,Austria,100,German
Nicola di Bari,6,I giorni dell'arcobaleno,1972,Italy,92,Italian
Tereza Kesovija,9,Muzika i ti,1972,Yugoslavia,87,Serbo-Croatian
Family Four,13,Härliga sommardag,1972,Sweden,75,Swedish
Anne-Marie Godart & Peter MacLane,16,Comme on s'aime,1972,Monaco,65,French
Serge & Christine Ghisoland,17,À la folie ou pas du tout,1972,Belgium,55,French
Vicky Leandros,1,Après toi,1972,Luxembourg,128,French
Sandra & Andres,4,Als het om de liefde gaat,1972,Netherlands,106,Dutch
Marion Rung,6,Tom Tom Tom,1973,Finland,93,English
Nicole & Hugo,17,"Baby, Baby",1973,Belgium,58,Dutch1
Fernando Tordo,10,Tourada,1973,Portugal,80,Portuguese
Gitte,8,Junger Tag,1973,Germany,85,German
Bendik Singers,7,It's Just A Game,1973,Norway,89,"English, French2"
Marie,8,Un train qui part,1973,Monaco,85,French
Mocedades,2,Eres tú,1973,Spain,125,Spanish
Patrick Juvet,12,"Je vais me marier, Marie",1973,Switzerland,79,French
Zdravko Čolić,15,Gori vatra,1973,Yugoslavia,65,Serbo-Croatian
Massimo Ranieri,13,Chi sarà con te,1973,Italy,74,Italian
Anne-Marie David,1,Tu te reconnaîtras,1973,Luxembourg,129,French
Nova & The Dolls,5,You're Summer,1973,Sweden,94,English
Ben Cramer,14,De oude muzikant,1973,Netherlands,69,Dutch
Maxi,10,Do I Dream,1973,Ireland,80,English
Cliff Richard,3,Power to All Our Friends,1973,United Kingdom,123,English
Martine Clémenceau,15,Sans toi,1973,France,65,French
Ilanit,4,Ey Sham (אי שם),1973,Israel,97,Hebrew
Carita,13,Keep Me Warm,1974,Finland,4,English
Olivia Newton-John,4,Long Live Love,1974,United Kingdom,14,English
Peret,9,Canta y sé feliz,1974,Spain,10,Spanish
Anne-Karine Strøm feat. Bendik Singers,14,The First Day of Love,1974,Norway,3,English
Marinella,11,"Krasi, thalassa ke t' agori mou
(Κρασί, θάλασσα και τ' αγόρι μου)",1974,Greece,7,Greek
Kaveret,7,Natati La Khayay (נתתי לה חיי),1974,Israel,11,Hebrew
Korni Grupa,12,Generacija '42 (Генерација '42),1974,Yugoslavia,6,Serbian
ABBA,1,Waterloo,1974,Sweden,24,English
Ireen Sheer,4,Bye Bye I Love You,1974,Luxembourg,14,Frencha
Romuald,4,Celui qui reste et celui qui s'en va,1974,Monaco,14,French
Jacques Hustin,9,Fleur de liberté,1974,Belgium,10,French
Mouth & MacNeal,3,I See a Star,1974,Netherlands,15,English
Tina Reynolds,7,Cross Your Heart,1974,Ireland,11,English
Cindy & Bert,14,Die Sommermelodie,1974,Germany,3,German
Piera Martell,14,Mein Ruf nach dir,1974,Switzerland,3,German
Paulo de Carvalho,14,E depois do adeus,1974,Portugal,3,Portuguese
Gigliola Cinquetti,2,Sì,1974,Italy,18,Italian
Teach-In,1,Ding-a-dong,1975,Netherlands,152,English
The Swarbriggs,9,That's What Friends Are For,1975,Ireland,68,English
Nicole Rieu,4,Et bonjour à toi l'artiste,1975,France,91,French
Joy Fleming,17,Ein Lied kann eine Brücke sein,1975,Germany,15,"German, English"
Geraldine,5,Toi,1975,Luxembourg,84,French
Ellen Nikolaysen,18,Touch My Life (With Summer),1975,Norway,11,English
Simone Drexel,6,Mikado,1975,Switzerland,77,German
Pepel in kri,13,Dan ljubezni,1975,Yugoslavia,22,Slovene
The Shadows,2,Let Me Be The One,1975,United Kingdom,138,English
Renato,12,Singing This Song,1975,Malta,32,English
Ann Christy,15,Gelukkig zijn,1975,Belgium,17,"Dutch, English"
Shlomo Artzi,11,At Va'Ani (את ואני),1975,Israel,40,Hebrew
Semiha Yankı,19,Seninle Bir Dakika,1975,Turkey,3,Turkish
Sophie,13,Une chanson c'est une lettre,1975,Monaco,22,French
Pihasoittajat,7,Old Man Fiddle,1975,Finland,74,English
Duarte Mendes,16,Madrugada,1975,Portugal,16,Portuguese
Sergio & Estíbaliz,10,Tú volverás,1975,Spain,53,Spanish
Lasse Berghagen,8,"Jennie, Jennie",1975,Sweden,72,English
Wess & Dori Ghezzi,3,Era,1975,Italy,115,Italian
Brotherhood of Man,1,Save Your Kisses for Me,1976,United Kingdom,164,English
"Peter, Sue and Marc",4,"Djambo, Djambo",1976,Switzerland,91,English
Les Humphries Singers,15,Sing Sang Song,1976,Germany,12,German
"Chocolate, Menta, Mastik",6,Emor Shalom (אמור שלום),1976,Israel,77,Hebrew
Jürgen Marcus,14,Chansons pour ceux qui s'aiment,1976,Luxembourg,17,French
Pierre Rapsat,8,Judy et Cie,1976,Belgium,68,French
Red Hurley,10,When,1976,Ireland,54,English
Sandra Reemer,9,The Party's Over,1976,Netherlands,56,English
Anne-Karine Strøm,18,Mata Hari,1976,Norway,7,English
Mariza Koch,13,"Panagia mou, Panagia mou
(Παναγιά μου, Παναγιά μου)",1976,Greece,20,Greek
Fredi & Ystävät,11,Pump-Pump,1976,Finland,44,English
Braulio,16,Sobran las palabras,1976,Spain,11,Spanish
Al Bano & Romina Power,7,We'll Live It All Again,1976,Italy,69,"English, Italian"
Waterloo & Robinson,5,My Little World,1976,Austria,80,English
Carlos do Carmo,12,Uma flor de verde pinho,1976,Portugal,24,Portuguese
Mary Christy,3,"Toi, la musique et moi",1976,Monaco,93,French
Catherine Ferry,2,"Un, deux, trois",1976,France,147,French
Ambasadori,17,Ne mogu skriti svoju bol,1976,Yugoslavia,10,Bosnian
The Swarbriggs Plus Two,3,It's Nice to Be in Love Again,1977,Ireland,119,English
Michèle Torr,4,Une petite française,1977,Monaco,96,French
Heddy Lester,12,De mallemolen,1977,Netherlands,35,Dutch
Schmetterlinge,17,Boom Boom Boomerang,1977,Austria,11,Germana
Anita Skorgan,14,Casanova,1977,Norway,18,Norwegian
Silver Convention,8,Telegram,1977,Germany,55,English
Anne-Marie B,16,Frère Jacques,1977,Luxembourg,17,French
Os Amigos,14,Portugal no coração,1977,Portugal,18,Portuguese
Lynsey de Paul & Mike Moran,2,Rock Bottom,1977,United Kingdom,121,English
"Paschalis, Marianna, Robert & Bessy",5,Mathima solfege (Μάθημα σολφέζ),1977,Greece,92,Greek
Ilanit,11,"Ahava Hi Shir Lishnayim
(אהבה היא שיר לשניים)",1977,Israel,49,Hebrew
Pepe Lienhard Band,6,Swiss Lady,1977,Switzerland,71,German
Forbes,18,Beatles,1977,Sweden,2,Swedish
Micky,9,Enséñame a cantar,1977,Spain,52,Spanish
Mia Martini,13,Libera,1977,Italy,33,Italian
Monica Aspelund,10,Lapponia,1977,Finland,50,Finnish
Dream Express,7,"A Million in One, Two, Three",1977,Belgium,69,English
Marie Myriam,1,L'oiseau et l'enfant,1977,France,136,French
Colm C. T. Wilkinson,5,Born to Sing,1978,Ireland,86,English
Jahn Teigen,20,Mil etter mil,1978,Norway,0,Norwegian
Ricchi e Poveri,12,Questo amore,1978,Italy,53,Italian
Seija Simola,18,Anna rakkaudelle tilaisuus,1978,Finland,2,Finnish
Gemini,17,Dai li dou,1978,Portugal,5,Portuguese
Joël Prévost,3,Il y aura toujours des violons,1978,France,119,French
José Vélez,9,Bailemos un vals,1978,Spain,65,Spanisha
Co-Co,11,The Bad Old Days,1978,United Kingdom,61,English
Carole Vinci,9,Vivre,1978,Switzerland,65,French
Jean Vallée,2,L'amour ça fait chanter la vie,1978,Belgium,125,French
Harmony,13,'t Is OK,1978,Netherlands,37,Dutch
Nilüfer & Nazar,18,Sevince,1978,Turkey,2,Turkish
Ireen Sheer,6,Feuer,1978,Germany,84,German
Caline & Olivier Toussaint,4,Les jardins de Monaco,1978,Monaco,107,French
Tania Tsanaklidou,8,Charlie Chaplin (Τσάρλυ Τσάπλιν),1978,Greece,66,Greek
Mabel,16,Boom Boom,1978,Denmark,13,Danish
Baccara,7,Parlez-vous français?,1978,Luxembourg,73,French
Izhar Cohen & the Alphabeta,1,A-Ba-Ni-Bi (א-ב-ני-בי),1978,Israel,157,Hebrew
Springtime,15,Mrs. Caroline Robinson,1978,Austria,14,Germanb
Björn Skifs,14,Det blir alltid värre framåt natten,1978,Sweden,26,Swedish
Manuela Bravo,9,"Sobe, sobe, balão sobe",1979,Portugal,64,Portuguese
Matia Bazar,15,Raggio di luna,1979,Italy,27,Italian
Tommy Seebach,6,Disco Tango,1979,Denmark,76,Danish
Cathal Dunne,5,Happy Man,1979,Ireland,80,English
Katri Helena,14,Katson sineen taivaan,1979,Finland,38,Finnish
Laurent Vaguener,16,Notre vie c'est la musique,1979,Monaco,12,French
Elpida,8,Sokrati (Σωκράτη),1979,Greece,69,Greek
"Peter, Sue, Marc, Pfuri, Gorps and Kniri",10,Trödler und Co,1979,Switzerland,60,German
Dschinghis Khan,4,Dschinghis Khan,1979,Germany,86,German
Gali Atari and Milk and Honey,1,Hallelujah (הללויה),1979,Israel,125,Hebrew
Anne-Marie David,3,Je suis l'enfant soleil,1979,France,106,French
Micha Marah,18,Hey Nana,1979,Belgium,5,Dutch
Jeane Manson,13,J'ai déjà vu ça dans tes yeux,1979,Luxembourg,44,French
Xandra,12,Colorado,1979,Netherlands,51,Dutch
Ted Gärdestad,17,Satellit,1979,Sweden,8,Swedish
Anita Skorgan,11,Oliver,1979,Norway,57,Norwegian
Black Lace,7,Mary Ann,1979,United Kingdom,73,English
Christina Simon,18,Heute in Jerusalem,1979,Austria,5,German
Betty Missiego,2,Su canción,1979,Spain,116,Spanish
Blue Danube,8,Du bist Musik,1980,Austria,64,German
Ajda Pekkan,15,Pet'r Oil,1980,Turkey,23,Turkish
Anna Vissi and the Epikouri,13,Autostop (Ωτοστόπ),1980,Greece,30,Greek
Sophie & Magaly,9,Papa pingouin,1980,Luxembourg,56,French
Samira Bensaïd,18,Bitaqat Hub (بطاقة حب),1980,Morocco,7,Arabic
Alan Sorrenti,6,Non so che darei,1980,Italy,87,Italian
Bamses Venner,14,Tænker altid på dig,1980,Denmark,25,Danish
Tomas Ledin,10,Just nu!,1980,Sweden,47,Swedish
Paola,4,Cinéma,1980,Switzerland,104,French
Vesa-Matti Loiri,19,Huilumies,1980,Finland,6,Finnish
Sverre Kjelsberg & Mattis Hætta,16,Sámiid ædnana,1980,Norway,15,Norwegian
Katja Ebstein,2,Theater,1980,Germany,128,German
Prima Donna,3,Love Enough for Two,1980,United Kingdom,106,English
José Cid,7,"Um grande, grande amor",1980,Portugal,71,Portuguese
Maggie MacNeal,5,Amsterdam,1980,Netherlands,93,Dutch
Profil,11,"Hé, hé, m'sieurs dames",1980,France,45,French
Johnny Logan,1,What's Another Year,1980,Ireland,143,English
Trigo Limpio,12,Quédate esta noche,1980,Spain,38,Spanish
Telex,17,Euro-Vision,1980,Belgium,14,French
Marty Brem,17,Wenn du da bist,1981,Austria,20,German
Modern Folk Üçlüsü & Ayşegül,18,Dönme Dolap,1981,Turkey,9,Turkish
Lena Valaitis,2,Johnny Blue,1981,Germany,132,German
